Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
965,17304,71182,29.0,84063,29.6,43250,27.4,57375.928,Aspers,1.0,840.0
966,17306,87583,46.4,87833,41.5,0,73.3,77089.207,Bendersville,1.0,329.0
967,17307,67860,41.6,84417,38.3,35800,49.5,78282.47099999999,Biglerville,1.0,307.0
968,17309,67574,31.0,87524,36.1,35263,22.5,60478.279,Brogue,1.0,746.0
969,17311,58077,17.3,77679,17.6,0,17.0,23718.825,Spring Grove,2.0,1605.0
970,17313,55598,23.0,64983,21.5,40908,25.3,37108.609,Dallastown,1.0,1460.0
971,17314,78582,29.8,82245,31.0,37683,22.2,57279.012,Delta,1.0,842.0
972,17315,67716,31.6,80108,33.8,41636,26.5,59508.3,Dover,1.0,769.0
973,17316,84505,28.8,92816,30.4,40656,18.8,60196.832,East Berlin,1.0,752.0
974,17317,71458,28.8,79375,34.2,41250,4.5,49582.404,Wrightsville,2.0,1133.0
975,17318,65000,11.9,64688,5.6,0,47.4,11357.528,Emigsville,1.0,1658.0
976,17319,79746,35.5,84264,39.2,44126,22.6,71313.79400000001,Etters,1.0,450.0
977,17320,75000,27.9,87311,28.5,42852,26.2,57035.859000000004,Fairfield,1.0,849.0
978,17321,92639,35.0,96458,38.2,0,23.1,69270.606,Fawn Grove,1.0,502.0
979,17322,91293,28.5,96450,27.0,50833,36.2,70461.55099999999,Felton,1.0,472.0
980,17324,64167,30.2,72802,32.3,30404,22.6,49764.78400000001,Gardners,1.0,1124.0
981,17325,69601,27.6,91587,28.5,36326,24.3,54139.389,Gettysburg,1.0,952.0
982,17327,79420,29.8,88063,28.8,43813,31.6,62874.212,Glen Rock,1.0,669.0
983,17329,87452,34.4,98579,32.9,44007,43.2,81527.003,Glenville,1.0,258.0
984,17331,66536,32.4,81514,32.2,36056,30.2,58694.084,Hanover,1.0,795.0
985,17339,76609,33.9,94250,32.0,48616,37.8,74507.299,Lewisberry,1.0,380.0
986,17340,74583,25.2,87173,26.7,40050,20.8,50400.50700000001,Littlestown,1.0,1104.0
987,17344,52616,23.1,77705,21.5,22144,25.7,34551.879,McSherrystown,1.0,1500.0
988,17345,64792,29.1,77535,31.9,47423,20.6,53357.275,Manchester,1.0,989.0
989,17347,81842,29.7,92215,28.9,37566,25.7,60611.670999999995,Mount Wolf,1.0,744.0
990,17349,93137,26.7,104871,32.3,50775,10.1,63869.18700000001,New Freedom,1.0,638.0
991,17350,60215,29.0,68670,27.6,33563,31.3,46920.489,New Oxford,1.0,1228.0
992,17352,82197,28.7,90000,27.6,44375,32.8,62985.539000000004,New Park,1.0,664.0
993,17353,72333,40.5,93441,44.9,31076,21.9,78055.518,Orrtanna,1.0,312.0
994,17355,57500,30.3,0,24.0,71500,41.1,46809.0,Railroad,1.0,1235.0
995,17356,70145,32.6,87466,34.1,44555,27.5,64945.801,Red Lion,1.0,614.0
996,17360,83078,31.5,97802,31.4,45431,31.9,71371.887,Seven Valleys,1.0,447.0
997,17361,86013,34.7,94489,35.2,26911,33.3,72068.00200000001,Shrewsbury,1.0,433.0
998,17362,78315,31.9,84159,31.9,37303,27.8,62199.44,Spring Grove,1.0,695.0
999,17363,82607,28.2,100346,27.6,27074,26.2,58084.058,Stewartstown,1.0,809.0
1000,17364,61481,38.6,76343,40.4,40599,34.4,68540.29400000001,Thomasville,1.0,515.0
1001,17365,74682,25.2,79464,19.9,63068,40.5,60175.74,Wellsville,1.0,753.0
1002,17366,69447,33.0,80941,31.6,45122,21.9,58376.584,Windsor,1.0,802.0
1003,17368,64219,28.6,85270,31.2,34807,22.1,52663.221,Wrightsville,1.0,1015.0
1004,17370,74053,33.8,93475,35.5,41992,30.4,70979.107,York Haven,1.0,460.0
1005,17371,82500,30.0,85417,11.9,49286,87.5,78039.87299999999,York New Salem,1.0,313.0
1006,17372,62119,32.5,75833,36.1,39886,23.3,56857.825999999994,York Springs,1.0,860.0
1007,17401,31497,38.7,31162,38.4,27169,36.7,34126.57,York,6.0,1506.0
1008,17402,72299,31.9,88720,30.7,38355,33.3,63072.636,York,1.0,662.0
1009,17403,57056,34.1,69760,33.7,32619,32.8,53664.248,York,5.0,975.0
1010,17404,64692,29.9,75464,32.5,40704,24.8,53963.3,York,4.0,960.0
1011,17406,71477,28.3,82521,27.6,47090,27.2,55812.267,York,3.0,902.0
1012,17407,99932,32.0,101992,33.1,50139,21.0,76266.782,Jacobus,1.0,339.0
1013,17408,68052,31.4,85733,28.4,35089,34.7,57892.383,York,2.0,818.0
1014,17501,64303,36.8,81649,35.0,25506,38.8,62136.982,Akron,1.0,697.0
1015,17502,86985,30.4,90061,29.5,50543,35.2,70802.571,Bainbridge,1.0,464.0
1016,17505,79063,44.9,82321,41.7,0,37.9,69827.144,Bird-in-Hand,1.0,487.0
1017,17508,48462,27.4,70682,34.5,0,0.0,37663.878,Brownstown,1.0,1448.0
1018,17509,71827,43.3,83313,50.3,45250,14.1,79387.78,Christiana,1.0,288.0
1019,17512,48791,38.5,66324,38.8,31469,36.5,56004.432,Columbia,1.0,895.0
1020,17516,80125,33.6,96306,28.9,35167,45.3,70685.085,Conestoga Township,1.0,466.0
1021,17517,78169,36.2,88415,34.2,32042,38.5,70871.27799999999,Denver,1.0,463.0
1022,17518,61544,36.5,65972,37.4,0,27.3,47137.087999999996,Drumore Township,1.0,1219.0
1023,17519,86483,50.6,88407,50.1,41914,52.8,110182.897,East Earl Township,1.0,61.0
1024,17520,78169,29.7,81414,24.5,56908,46.2,69454.119,East Petersburg,1.0,499.0
1025,17522,61829,38.3,72768,38.0,36805,36.3,64692.56200000001,Ephrata,1.0,620.0
1026,17527,82917,51.6,90194,48.6,44191,62.9,114415.595,Gap,1.0,53.0
1027,17529,65636,57.8,68571,63.5,41875,32.1,94922.06800000001,Gordonville,2.0,129.0
1028,17532,70398,36.3,75259,38.0,63616,26.8,71201.982,Holtwood,1.0,455.0
1029,17535,100150,50.1,100725,49.8,46528,52.4,124716.87199999999,Kinzers,1.0,39.0
1030,17536,70042,37.7,69375,37.2,63750,45.0,80900.834,Kirkwood,1.0,264.0
1031,17538,85470,27.8,98963,27.6,26616,25.8,57941.376,Landisville,1.0,815.0
1032,17540,71641,38.2,81057,39.4,39741,34.6,73053.70599999999,Leola,1.0,405.0
1033,17543,75946,37.1,95548,35.8,37871,39.4,77303.32400000001,Lititz,1.0,325.0
